序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日,cost_deviation_pct,score_x_focus,is_our_stock
1,000001,平安银行,11.14,0.27,0.23,3.72,11.103694907858,0.354856,65.90716847,-957,1807,90.0,2026-07-27,0.33,59.3,False
2,000002,万  科Ａ,3.13,0.0,0.43,-1.57,3.1166620853,0.4046644,61.74196634,765,3170,78.8,2026-07-27,0.43,48.7,False
3,000006,深振业Ａ,6.51,2.68,1.62,291.88,6.310919638026,0.2826492,65.40908536,1717,1975,71.6,2026-07-27,3.15,46.8,False
4,000007,全新好,9.09,-2.36,1.18,-362.7,9.249969640185,0.2135844,55.52863865,-1164,4747,65.2,2026-07-27,-1.73,36.2,False
5,000008,神州高铁,2.36,2.16,0.8,-52.72,2.298637064624,0.31627,53.54749859,-378,4994,76.4,2026-07-27,2.67,40.9,False
6,000009,中国宝安,6.22,-0.48,0.43,229.67,6.207589078076,0.23568,62.25159006,1076,3020,79.2,2026-07-27,0.2,49.3,False
7,000010,*ST美丽,1.51,2.72,1.38,16.03,1.458998076304,0.3483136,56.7635723,-270,4521,68.8,2026-07-27,3.5,39.1,False
8,000011,深物业A,7.42,-8.96,6.52,-40.59,8.733612082386,0.3405228,60.8464574,-3107,3473,86.0,2026-07-27,-15.04,52.3,False
9,000012,南  玻Ａ,3.81,-0.52,0.58,-29.38,3.797832573867,0.305396,63.63265839,924,2527,77.2,2026-07-27,0.32,49.1,False
10,000014,沙河股份,9.67,3.2,2.69,-68.93,9.270825867089,0.116724,63.07975803,504,2728,76.0,2026-07-27,4.31,47.9,False
11,000016,*ST康佳A,2.58,3.61,0.94,-8.45,2.467322762821,0.3448936,60.04997318,-827,3726,74.4,2026-07-27,4.57,44.7,False
12,000017,深中华A,6.02,2.21,1.85,169.6,5.821466700968,0.1646716,67.59418491,-1114,1366,86.0,2026-07-27,3.41,58.1,False
13,000019,深粮控股,5.97,0.34,0.48,26.49,5.9275011469,0.1614096,56.89982666,470,4487,70.0,2026-07-27,0.72,39.8,False
14,000020,深华发Ａ,10.29,1.88,1.01,140.0,9.989541236576,0.059758,62.67460532,-876,2889,67.6,2026-07-27,3.01,42.4,False
15,000021,深科技,41.08,-6.53,6.78,66.76,41.900977100591,0.3988012,75.61304939,-93,158,95.6,2026-07-27,-1.96,72.3,False
16,000025,特  力Ａ,14.16,0.64,0.99,45.86,13.996376519303,0.2295704,65.04453158,-1379,2073,79.6,2026-07-27,1.17,51.8,False
17,000026,飞亚达,16.14,-2.18,0.61,25.16,16.332887680893,0.1878656,67.13264857,835,1464,68.8,2026-07-27,-1.18,46.2,False
18,000027,深圳能源,6.28,-1.57,0.31,5.98,6.370568596427,0.230192,61.91054285,-1169,3118,79.2,2026-07-27,-1.42,49.0,False
19,000028,国药一致,20.24,-0.93,0.26,10.78,20.456696721409,0.0896224,64.8246732,-1361,2143,75.2,2026-07-27,-1.06,48.7,False
20,000029,深深房Ａ,19.11,-2.2,0.42,-1230.79,19.374763778768,0.2058384,61.46447798,139,3266,66.0,2026-07-27,-1.37,40.6,False
21,000030,富奥股份,4.15,-0.24,0.3,14.31,4.167833705516,0.1525352,65.3210879,-732,1995,70.0,2026-07-27,-0.43,45.7,False
22,000031,大悦城,2.14,0.0,0.39,-10.37,2.119742295155,0.282318,63.55468478,1185,2551,72.8,2026-07-27,0.96,46.3,False
23,000032,深桑达Ａ,14.55,-3.26,2.07,-53.64,14.527466048386,0.3127796,65.80058803,973,1839,78.4,2026-07-27,0.16,51.6,False
24,000034,神州数码,26.02,-3.56,2.9,28.03,26.534323651678,0.3179968,68.09487749,-593,1233,94.4,2026-07-27,-1.94,64.3,False
25,000035,中国天楹,4.74,1.72,1.16,25.56,4.60959184802,0.2494384,64.90608806,-736,2111,82.4,2026-07-27,2.83,53.5,False
26,000036,华联控股,3.96,-1.74,0.69,53.37,4.027611955528,0.2436652,64.38984506,-659,2268,72.0,2026-07-27,-1.68,46.4,False
27,000037,深南电A,9.08,-0.98,3.58,113.78,8.99468823254,0.1986312,56.17927167,-220,4647,89.6,2026-07-27,0.95,50.3,False
28,000039,中集集团,8.08,-1.94,0.66,52.13,8.185722017853,0.228006,64.22534592,325,2328,80.0,2026-07-27,-1.29,51.4,False
29,000042,中洲控股,7.88,0.38,0.42,-19.78,7.857784131378,0.1858716,52.91137156,-215,5048,65.6,2026-07-27,0.28,34.7,False
30,000045,深纺织Ａ,9.96,10.06,1.78,56.79,8.945024480512,0.1284648,67.43069082,977,1399,70.0,2026-07-27,11.35,47.2,False
31,000048,京基智农,18.51,-0.75,0.84,-10.62,18.213904351399,0.252586,64.46149912,-602,2249,73.6,2026-07-27,1.63,47.4,False
32,000049,德赛电池,24.23,-1.82,1.19,29.15,24.560149743614,0.21471,65.79673991,-80,1840,81.6,2026-07-27,-1.34,53.7,False
33,000050,深天马Ａ,6.29,0.32,0.82,-27.52,6.223964250556,0.2810784,65.15697654,424,2042,78.0,2026-07-27,1.06,50.8,False
34,000055,方大集团,3.31,0.61,0.61,31.51,3.279490018912,0.2071956,57.83269246,-248,4290,70.4,2026-07-27,0.93,40.7,False
35,000056,*ST皇庭,1.91,1.06,0.71,-17.48,1.87413983054,0.3607228,60.53769071,-270,3566,70.4,2026-07-27,1.91,42.6,False
36,000058,深 赛 格,6.27,1.46,0.4,78.11,6.136433602774,0.1297788,64.56367947,1181,2211,74.0,2026-07-27,2.18,47.8,False
37,000059,华锦股份,4.5,-1.1,0.7,40.57,4.504279239116,0.190802,62.95696908,-1798,2771,77.2,2026-07-27,-0.1,48.6,False
38,000060,中金岭南,6.14,-2.07,0.85,13.54,6.204694266205,0.3483344,70.56875765,740,696,80.8,2026-07-27,-1.04,57.0,True
39,000061,农 产 品,5.66,0.53,0.35,20.8,5.606921267282,0.204896,69.62717708,452,888,74.0,2026-07-27,0.95,51.5,False
40,000062,深圳华强,21.65,-1.95,0.92,28.18,21.830170233414,0.2593356,61.48080895,-774,3257,80.0,2026-07-27,-0.83,49.2,False
41,000063,中兴通讯,34.19,-3.01,1.94,31.2,34.768356603509,0.40241,60.93797451,-938,3439,94.4,2026-07-27,-1.66,57.5,False
42,000065,北方国际,9.04,-1.53,0.62,23.76,9.16315642536,0.248872,66.77808608,420,1553,73.6,2026-07-27,-1.34,49.1,False
43,000066,中国长城,14.61,-1.75,1.3,-140.91,14.610496908415,0.326358,60.24053241,903,3665,87.2,2026-07-27,-0.0,52.5,False
44,000068,华控赛格,2.7,0.37,0.77,-37.41,2.668854663822,0.2139884,55.41100542,280,4768,72.4,2026-07-27,1.17,40.1,False
45,000069,华侨城Ａ,1.68,0.6,0.33,-2.47,1.663028914062,0.3723116,59.90489093,1062,3768,74.8,2026-07-27,1.02,44.8,False
46,000070,特发信息,13.48,-1.32,2.8,-306.92,13.416626634883,0.27561,60.13356305,1165,3695,80.8,2026-07-27,0.47,48.6,False
47,000078,ST海王,1.66,4.4,3.25,75.34,1.588340922782,0.3130176,60.7251258,1470,3502,84.0,2026-07-27,4.51,51.0,False
48,000088,盐 田 港,4.33,-0.46,0.32,16.53,4.348929715622,0.1747544,62.40886595,-883,2974,75.2,2026-07-27,-0.44,46.9,False
